,0,1
0,30,628
1,718,842
2,495,981
3,297,111
4,507,306
5,624,118
6,660,602
7,776,7
8,470,770
9,846,923
10,60,460
11,818,300
12,624,281
13,577,975
14,257,633
15,532,114
16,263,707
17,400,17
18,873,659
19,586,213
20,551,658
21,396,228
22,437,52
23,532,530
24,304,174
25,17,93
26,327,774
27,902,812
28,80,389
29,794,278
30,391,609
31,570,431
32,608,112
33,78,76
34,189,817
35,369,594
36,958,458
37,334,745
38,666,36
39,900,171
40,109,920
41,177,936
42,762,340
43,665,969
44,243,250
45,664,317
46,293,741
47,671,483
48,21,999
49,148,318
